ID,Description,code,Unit,Deleted,enabled,kgperunit
2,ANGLE 1.200mm x 100mm x 100mm x 6mm GALVANISED,124412,Number,0,1,1
6,1.5m Heavy Duty Galvanised Angle 100mm x 75mm x 10,1.5m  H/Duty Angle - 124506,Number,0,1,1
8,10.03 HALF BLOCK 90mm x 190mm x 190mm,124525,Number,0,1,4.2
9,10/20 mm Recycled Brick & Concrete,10/20 mm Recycled - 124816,Tonne,0,1,1000
10,10/20 Recycled Brick-Concrete in a Bulka Bag,10/20 Recycled BB - 124833,Number,0,1,1000
12,2.100mm Long 150mm X 100mm X 6mm Hot Dipped Galvan,2.100mm 150x100 Angle - 124418,Number,0,1,1
14,2.400mm Long 150mm X 100mm X 6mm Hot Dipped Galvan,2.4 m 150x100 Angle - 124419,Number,0,1,1
15,2.400mm Long 100mm X 100mm X 6mm Hot Dipped Galvan,2.400mm 100x100 Angle - 124416,Number,0,1,1
19,3.000mm Long 150mm x 100mm x 6mm Hot Dipped Galvan,3.00mm 150x100 Angle - 124421,Number,0,1,1
20,3.0m Heavy Duty Galvanised Angle 150mm x 100mm x 1,3.0m  H/ Duty Angle - 124507,Number,0,1,1
21,3.300mm Long 150mm X 100mm X 6mm Hot Dipped Galvan,3.300mm 150x100 Angle - 124422,Number,0,1,1
22,3.3m Heavy Duty Galvanised Angle  x 150mm x 100mm,3.3m  H/Duty Angle - 124836,Number,0,1,1
23,3.600mm Long 150mm x 100mm x 6mm Hot Dipped Galvan,3.600mm 150x100 Angle - 124423,Number,0,1,1
24,3.6m Heavy Duty Galvanised Angle 150mm x 100mm x 1,3.6m H/Duty Angle - 124509,Number,0,1,1
27,30/40 Recycled Aggregate,30/40 Recycled Agg - 124857,Tonne,0,1,1000
28,30/40 Recycled Concrete in a Bulka Bag,30/40 Recycled BB -124859,Number,0,1,1000
29,4.000mm Long 150mm X 100mm X 6mm Hot Dipped Galvan,4.000mm 150x100 Angle - 124424,Number,0,1,1
30,4.2m Heavy Duty Galvanised Angle 150mm x100mm x 10,4.2m  Heavy Duty Angle - 12473,Number,0,1,1
33,5.0m Heavy Duty Galvanised Angle 150mm x 100mm x 1,5.0m H/ Duty Angle- 124793,Number,0,1,1
34,5.5m 150 x 100 x 10 Galvanised Angle,5.5m 150x100 Angle - 124511,Number,0,1,1
35,50/70 Cobble Recycled in Bulka Bag,50/70  Cobble  BB - 124818,Number,0,1,1000
36,50/70 Cobble Brick and Concrete for drainage,50/70 Cobble - 124805,Tonne,0,1,1000
37,M102 70/30 Bowling Blend Soil,70/30 Bowl Blend Soil- 124741,Tonne,0,1,1000
38,Aalborg White Cement 20kg,Aalborg Cement 20 kg - 124807,Number,0,1,20
42,Alcor 110mm x 10m .3mm Bitumen Coated Aluminium,Alcor 11010 - 124073,Number,0,1,1
43,Alcor 110mm x 30m .3mm Bitumen Coated Aluminium,Alcor 11030 - 124074,Number,0,1,1
44,Alcor 150mm x 10m .3mm Bitumen Coated Aluminium,Alcor 15010 - 124075,Number,0,1,1
45,Alcor 150mm x 30m .3MM Bitumen Coated Aluminium,Alcor 15030 - 124076,Number,0,1,1
46,Alcor 230mm x 10m .3mm Bitumen Coated Aluminium,Alcor 23010 - 124077,Number,0,1,1
47,Alcor 230mm x 30m .3mm Bitumen Coated Aluminium,Alcor 23030 -124078,Number,0,1,1
48,Alcor 300mm x 10m .3mm Bitumen Coated Aluminium,Alcor 30010 - 124079,Number,0,1,1
49,Alcor 300mm x 30m .3mmBitumen Coated Aluminium,Alcor 30030  - 124080,Number,0,1,1
50,Alcor 350mm x 10m .3mm Bitumen Coated Aluminium,Alcor 35010 - 124081,Number,0,1,1
51,Alcor 350mm x 30m .3mm Bitumen Coated Aluminium,Alcor 35030- 124082,Number,0,1,1
52,Alcor 380mm x 10m .3mm Bitumen Coated Aluminium,Alcor 38010 - 124083,Number,0,1,1
53,Alcor 380mm x 30m .3mm Bitumen Coated Aluminium,Alcor 38030 - 124084,Number,0,1,1
54,Alcor 450mm x 10m .3mm Bitumen Coated Aluminium,Alcor 45010 - 124085,Number,0,1,1
55,Alcor 450mm x 30m .3mm Bitumen Coated Aluminium,Alcor 45030 - 124086,Number,0,1,1
56,Site Bags 15%,Bag 2000x1500x1200 Site Bags,Number,0,1,1
57,Site Clean Bags - 85%,Bag 2000x1500x1200 Site Clean,Number,0,1,1
58,Recycling Bags,Bag 90x90x140,Number,0,1,1
59,Bulka Bag 1 tonne 900MM X 900MM X 900MM,BB 1 Tonne- 124152,Number,0,1,1
60,Biplas 20 Litre Clear Admixture for Cement Lime Mo,Biplas 20L - 124149,Number,0,1,1
61,Biplas 20 litre Dark,Biplas 20L - 124151,Number,0,1,1
62,Biplas -  5 Litre Clear Admixture For CementLime M,Biplas 5 Litre - 124148,Number,0,1,2.5
63,Black Bag Ties - Bundles of 200 x 150mm,Black Bag Ties -  124632,Number,0,1,1
64,Black Bag Ties -  Bundles of 200 X 110mm long,Black Bag Ties 110mm - 124632,Number,0,1,1
65,Black Plastic 2M X 100um X 5m Roll,Black Plastic 2x5m -  124060,Number,0,1,1
66,Bulka Bag Multi Trip Bottom Opener,Bottom Opener BB -124735,Number,0,1,1
67,Bricktor 70mm x 46m,Bricktor - 124070,Number,0,1,1
68,50.31 Capping Tile 194mm x 390mm x 194mm x 40mm Th,Capping Tile 50.31 - 124452,Number,0,1,7.4
69,20kg Builders Cement,Cement Builder 20kg - 124513,Number,0,1,20
70,20 KG Bag Cement General Purpose - Eureka Type A,CGP  20kg -124440,Number,0,1,20
71,20.96 Clean Out Block 190mm x 190mm x 390mm,Clean Out Block 20.96 - 124451,Number,0,1,11.6
72,30.92 Corner End Block -290x190x390,Cnr & End Block 30.92 - 124532,Number,0,1,16.2
73,"20kg Concrete Mix -  is a dry mix blend of sand, c",Concrete Mix 20kg - 124474,Number,0,1,20
74,Core/Block Fill in a bottom opener Bulka Bag,Core Fill in B/OPBB - 124832,Number,0,1,1000
75,Core/Block Fill in a Bulka Bag,Core/Block Fill in BB - 124473,Number,0,1,1000
