project_id,weight_total,weight_unassigned,idCustomer,pickupAddressId,idSupplier,deliveryAddressId,status,project_reference,idClient,delivery_type,deleted
31953,2.329,2.329,429,1351,492,62973,0,209118,492,2,0
28567,0.606,,186,9264,258,55122,0,0025675,258,9,0
31136,2.364,2.000,430,10485,360,60571,0,450149,360,6,0
34616,2.437,1.000,207,7708,202,69376,0,215659,202,7,0
24137,2.379,2.379,429,10105,259,47702,1,201927,259,5,0
27107,2.362,2.362,429,1351,180,52922,1,403973,180,1,0
32653,2.435,1.000,429,1351,346,65223,0,2016041/079,346,42,0
28957,0.161,0.161,429,1351,969,55927,0,18 Beach Drive Woonona,969,2,0
29438,2.340,2.340,207,7708,689,56503,0,300854,689,7,0
29388,2.345,2.345,207,7708,689,56453,0,301071,689,23,0
32463,18.479,,343,54857,81,1407,0,2324/210,343,58,0
28227,0.000,0.000,349,54697,81,1407,1,404097/220/01,349,0,0
30976,2.380,2.380,429,1351,761,60276,0,7990,761,42,0
30496,2.366,2.000,429,10105,2242,58526,0,202120/910,2242,5,0
34596,1.658,1.658,1077,20952,258,69341,0,0027390,258,3,0
32063,2.329,2.000,429,1351,492,63113,0,208694,492,42,0
27492,2.374,2.374,429,1351,2113,53487,0,1817/620,2113,2,0
32968,1.682,1.500,186,62407,233,65613,0,20798,233,9,0
25692,0.535,0.535,186,49327,258,50312,1,0026614,258,47,0
25437,2.335,2.000,429,1351,144,49302,1,5360800,144,1,0
28097,2.358,2.358,429,1351,180,54222,0,402958,180,1,0
21947,2.378,2.368,429,10105,409,43977,1,A017872955,409,5,0
26897,0.542,0.542,186,49327,258,52547,1,0026030,258,47,0
26767,2.339,1.000,429,1351,349,52407,0,403839,349,2,0
32893,2.474,1.000,207,7708,689,65523,0,301167,689,7,0
21582,2.376,1.000,429,1351,202,43182,0,165381,202,42,0
23688,2.362,1.000,429,10105,1905,47038,1,3681-20/605,1905,9,0
32803,2.467,,430,10485,346,65373,0,2017826/151,346,6,0
21003,0.614,0.614,186,9264,258,42311,1,0026150,258,9,0
32296,0.862,0.546,186,62407,258,63751,0,0026078,258,9,0
15516,2.382,2.382,207,7708,202,28842,1,164314,202,38,0
24087,2.362,2.000,1077,20952,1254,47607,0,20122/107,1254,3,0
30396,0.549,0.549,186,49327,258,58416,0,0026992,258,47,0
32673,2.434,2.000,429,10105,2113,65238,0,1941,2113,4,0
31757,0.595,,186,62407,258,62437,0,0790279,258,5,0
35191,4.869,3.000,429,1351,1923,69401,0,ON TIME GROUP- HUNT0250/1.0640,1923,42,0
26493,2.340,2.340,207,7708,689,52053,0,301044,689,52,0
33048,2.435,1.000,429,1351,346,66043,0,2016496/083,346,1,0
26342,2.330,2.000,1077,20952,1070,51887,1,951928,1070,3,0
33442,2.474,1.000,429,10105,349,66542,0,606915,349,5,0
25422,2.381,2.381,1077,20952,561,49282,1,au2-160513/360,561,3,0
23007,2.376,1.000,429,1351,343,46017,1,2174/820,343,42,0
24987,2.330,2.000,430,10485,349,48737,1,403898,349,6,0
25722,0.535,0.640,186,49327,258,50347,1,0026356,258,47,0
33313,1.682,1.682,182,60627,258,66393,0,0027041,258,47,0
28667,2.383,2.376,429,10105,409,55232,0,A010029514,409,4,0
31928,2.336,2.336,207,7708,954,62938,0,11059,954,7,0
23057,2.372,1.000,429,1351,409,46082,0,A018392064,409,2,0
19008,2.380,1.000,207,7708,202,37329,1,177089,202,38,0
7653,0.647,0.647,207,7708,804,14877,1,Stage 2A2 Block 15 Section 52 Strathnairn,804,12,0
29884,2.378,1.000,429,1351,343,57139,0,2446/820,343,2,0
34671,2.439,2.439,429,1351,550,69451,0,RUSSONIE/215,550,42,0
34387,1.682,,186,62407,258,68412,0,0027187,258,9,0
28992,2.381,1.000,207,7708,202,55992,0,197912,202,23,0
21687,0.614,0.614,186,9264,258,43292,1,0025435,258,5,0
33363,1.648,1.648,182,60627,258,66443,0,0026650,258,47,0
29458,2.376,2.376,207,7708,954,56538,0,10955,954,7,0
31973,2.418,2.418,207,7708,954,62988,0,11010,954,7,0
29959,2.379,2.371,429,1351,492,57264,0,207644,492,42,0
31061,0.611,0.607,186,62407,233,62427,1,20752,233,9,0
24907,2.376,1.000,207,7708,954,48657,1,30060,954,7,0
33447,2.476,,429,10105,349,66547,0,606845,349,5,0
19614,2.367,1.000,429,10105,409,38508,1,A999381476,409,5,0
25252,2.336,2.000,207,7708,689,49067,0,301011,689,52,0
31677,2.364,2.000,1077,20952,1995,62292,1,001145/760,1995,3,0
20887,11.979,2.000,430,10485,2109,42119,0,TBA,492,6,0
30821,0.535,0.535,186,49327,258,59736,0,0025189,258,47,0
28852,0.595,0.595,186,9264,258,55487,1,0790219,258,5,0
31602,2.333,2.333,429,1351,144,62202,0,5329100,144,1,0
23463,0.601,0.601,186,9264,258,46753,0,0026518,258,9,0
27603,0.607,0.607,186,9264,258,53618,0,0025660,258,9,0
25157,2.366,1.000,429,10105,2242,48967,1,202113/910,2242,5,0
20268,0.160,0.160,429,1351,1350,40695,0,3 Kanahooka Street Albion Park Rail,1350,1,0
28877,0.606,0.606,186,9264,258,55512,0,0025668,258,9,0
27197,1.687,1.000,186,49327,258,53037,1,0025595,258,47,0
28277,1.306,0.606,186,9264,258,54787,1,0025929,258,9,0
26217,0.595,0.595,186,9264,258,51722,1,0790217,258,9,0
32356,0.525,,186,62407,258,64171,0,0026303,258,5,0
22252,2.388,2.000,429,10105,409,44417,1,A980435603,409,4,0
24362,2.368,1.000,429,1351,372,48027,1,5005529,372,42,0
24798,2.366,1.000,429,10105,1905,48538,1,4503-22/605,1905,9,0
30666,2.384,2.000,1077,20952,2242,58716,0,202181/910,2242,3,0
32122,0.161,0.161,429,1351,337,63532,0,11 Candlebark Street Albion Park Rail,337,1,0
25882,2.338,2.338,429,1351,360,50577,0,450115,360,2,0
34277,2.481,1.000,429,1351,349,68257,0,404168,349,42,0
31121,2.373,2.000,429,1351,67,60526,0,4008453/100,67,42,0
32217,2.292,2.000,429,1351,268,63647,0,0071759,268,1,0
34406,2.437,2.437,207,7708,202,68801,0,215563,202,7,0
33263,1.682,1.682,186,62407,258,66338,0,0026865,258,9,0
20556,2.359,2.359,430,10485,349,41451,1,403872,349,6,0
24407,2.376,2.376,207,7708,954,48077,0,10899,954,7,0
28862,1.106,1.000,186,9264,258,55497,0,0026909,258,9,0
25337,2.368,1.000,429,1351,268,49187,1,00070283,268,2,0
23278,2.338,1.000,429,1351,144,45127,1,5358200/080,144,1,0
25657,0.547,0.595,186,49327,258,50277,0,0026867,258,47,0
28467,2.371,1.000,429,1351,564,55007,1,79902123,564,42,0
22207,2.386,2.000,429,1351,761,44337,1,4422,761,2,0
30571,0.607,0.607,186,9264,258,58601,0,0026984,258,9,0
28722,2.326,1.000,429,1351,1070,55337,0,970007/779/02,1070,1,0
22367,2.378,2.377,429,1351,227,44557,1,29915633,227,2,0
17160,2.376,2.376,429,1351,954,32667,1,30049,954,28,0
33912,2.480,,430,10485,349,67807,0,404266,349,6,0
28777,2.330,2.000,429,1351,1070,55392,0,951644/779/01,1070,1,0
33702,1.682,1.674,186,62407,258,67552,0,0027071,258,9,0
27652,2.378,2.378,429,1351,343,53697,1,2459/820,343,42,0
34426,2.465,1.000,430,10485,346,68826,0,2017654/087,346,6,0
26207,0.606,0.606,186,9264,258,51712,1,0025620,258,5,0
33218,1.682,1.674,186,62407,258,66283,0,002673,258,5,0
19176,2.382,1.000,207,7708,202,37548,1,174972,202,38,0
34621,2.445,2.445,207,7708,202,69381,0,177615,202,7,0
30751,0.537,0.537,186,49327,258,59251,0,0026058,258,47,0
28497,2.333,2.333,429,10105,144,55042,0,5360100/094,144,5,0
29142,1.094,,186,9264,258,56197,1,0025674,258,9,0
26122,0.595,0.595,186,9264,258,51612,1,0790210,258,5,0
22462,0.614,0.614,186,9264,258,44677,1,0025954,258,9,0
30651,0.535,0.591,186,49327,258,58696,0,0026665,258,47,0
34192,2.463,1.000,429,1351,372,68137,0,5005753/076,372,1,0
33872,2.462,1.000,429,1351,550,67757,0,PETROVSK/215,550,42,0
27957,1.006,1.000,186,9264,258,54057,0,0026940,258,9,0
32398,2.278,2.278,1077,20952,2781,64538,1,PO-0002,2781,3,0
25647,0.601,0.601,186,9264,258,50262,1,0025930,258,9,0
25932,2.369,1.000,429,10105,2242,50652,1,201113/910,2242,9,0
24917,2.353,2.333,430,10485,349,48667,0,403982,349,6,0
26513,2.333,1.000,207,7708,689,52073,0,300979,689,7,0
24422,2.384,2.384,207,7708,954,48102,0,10952,954,7,0
31237,2.363,2.000,429,1351,564,61362,1,79902336,564,42,0
24972,2.338,2.338,429,1351,349,48722,0,403686,349,2,0
30941,0.607,0.607,186,62407,233,62412,0,20754,233,5,0
20853,2.378,2.378,429,1351,894,42045,0,#PO-BWH242144,894,42,0
33827,0.160,0.160,429,10105,2796,67702,0,107 High Street Cabramatta West NSW,2796,5,0
32888,2.480,,429,1351,349,65518,0,404264,349,2,0
34666,2.476,2.000,429,10105,349,69446,0,606934,349,5,0
34461,2.474,,429,10105,360,68871,0,652223,360,5,0
21467,2.582,1.000,429,1351,2113,43037,1,1885,2113,1,0
22892,2.376,2.376,207,7708,954,45162,1,10897,954,7,0
29608,0.594,0.594,186,9264,258,56738,1,0026420,258,5,0
28687,0.599,0.594,186,9264,258,55252,1,0026652,258,3,0
27292,0.161,0.161,429,1351,1374,53162,0,6 Addison Avenue Lake Illawarra,1374,2,0
25322,3.382,1.000,429,1351,550,49162,1,BOTTWLG/215,550,2,0
24682,2.376,1.000,429,1351,2113,48407,0,1909/620,2113,2,0
23177,3.392,1.000,429,1351,346,46087,0,2017197,346,1,0
31547,2.342,1.000,429,1351,360,62132,0,450077,360,42,0
28242,2.335,1.000,430,10485,349,54742,1,404193,349,6,0
28492,0.595,0.595,186,9264,258,55037,0,0790197,258,5,0
29428,2.380,1.000,207,7708,954,56493,0,30071,954,38,0
26332,2.330,1.000,1077,20952,1070,51867,1,951930,1070,3,0
29582,0.535,0.545,186,49327,258,56702,0,0026245,258,47,0
27707,2.340,2.340,207,7708,689,53792,0,300938,689,23,0
21967,2.359,2.359,430,10485,360,44002,1,450088,360,6,0
31552,2.372,2.372,429,1351,202,62137,0,200315,202,42,0
28252,2.366,2.000,1077,20952,2242,54757,0,201986/910,2242,3,0
27922,0.535,0.535,186,49327,258,54022,1,0026924,258,47,0
26857,2.373,2.373,429,1351,492,52497,0,209100,492,2,0
23263,0.603,0.603,186,9264,258,45177,1,0025355,258,9,0
27578,0.595,0.595,186,9264,258,53593,1,0790202,258,5,0
34416,2.463,,429,10105,409,68811,0,A026561904,409,5,0
32693,2.439,1.000,429,1351,372,65258,0,5005703/072,372,42,0
33053,2.487,1.000,207,7708,689,66048,0,301140,689,28,0
24813,2.333,1.000,429,1351,144,48553,1,5328700/082,144,1,0
24277,2.333,2.333,429,1351,144,47932,1,5361000,144,1,0
21212,2.368,1.000,429,1351,761,42717,1,5233,761,2,0
26423,2.336,1.000,207,7708,689,51978,0,300896,689,38,0
31147,2.336,1.000,207,7708,689,60587,0,301132,689,33,0
34302,2.457,1.000,429,1351,346,68297,0,2016571/084,346,1,0
31938,0.595,,186,62407,258,62948,0,0790270,258,5,0
28412,2.336,1.000,429,10105,144,54952,0,5360200/095,144,5,0
28427,2.375,1.000,207,7708,202,54967,0,192084,202,23,0
28017,2.373,2.369,429,1351,227,54117,0,29916169,227,42,0
25542,0.535,0.535,186,49327,258,50137,0,0026212,258,47,0
31988,2.320,,207,7708,689,63003,0,301066,689,23,0
7506,0.647,0.647,207,7708,804,14730,1,Stage 2A2 Block 2 Section 51 Strathnairn,804,12,0
27722,2.377,2.377,207,7708,202,53807,0,197161,202,38,0
27347,2.390,2.380,430,10485,417,53237,0,2636/J1123,417,6,0
33962,2.474,2.474,429,1351,349,67867,0,403500,349,1,0
34946,2.441,1.000,429,1351,492,69886,0,209587,492,42,0
24828,2.333,1.000,429,10105,144,48573,1,5300600/087,144,5,0
27157,2.333,2.333,429,10105,144,52992,1,5360300/091,144,5,0
33278,2.477,1.000,429,1351,1070,66353,0,951444,1070,1,0
14841,2.383,1.000,207,7708,202,27972,1,155719,202,7,0
30871,2.347,2.347,207,7708,689,60121,0,301117,689,52,0
