idJobItem,itemID,itemName,itemDescription,itemCode,itemWeight,itemUnit,deleted,itemWeight_loaded
1586421,1768,Final Stage (Final Stage NEW),Final Stage,Final Stage NEW,1.0,Number,0,1.000
1586426,1804,Timber removal per kilo (TimberremovalperkiloNEW),Timber removal per kilo,TimberremovalperkiloNEW,1.0,Number,0,0.000
1586431,1798,Steel removal per kilo (SteelremovalperkiloNEW),Steel removal per kilo,SteelremovalperkiloNEW,1.0,Number,0,0.000
1586436,1801,Tidy Site (TidySiteNEW),Tidy Site,TidySiteNEW,1.0,Number,0,1.000
1498372,1816,Waste Bag Set up (WasteBagSetupNEW),Waste Bag Set up,WasteBagSetupNEW,1.0,Number,0,1.000
1498377,1813,Waste Bag Pick up (WasteBagPickup NEW),Waste Bag Pick up,WasteBagPickup NEW,1.0,Number,0,1.000
1527552,1741,Brick/Tile/Concrete Bag Pick up 1m3 (B/T/CBag,Brick/Tile/Concrete Bag Pick up 1m3,B/T/CBagPickup1m3NEW,1.0,Number,0,1.000
1507872,1816,Waste Bag Set up (WasteBagSetupNEW),Waste Bag Set up,WasteBagSetupNEW,1.0,Number,0,1.000
1507877,1813,Waste Bag Pick up (WasteBagPickup NEW),Waste Bag Pick up,WasteBagPickup NEW,1.0,Number,0,1.000
1539316,1813,Waste Bag Pick up (WasteBagPickup NEW),Waste Bag Pick up,WasteBagPickup NEW,1.0,Number,0,1.000
1545866,1914,Site Inspection (Site Inspection NEW),Site Inspection,Site Inspection NEW,1.0,Number,0,1.000
1589161,1875,Waste Bag Set up Additional (WasteBagSetupAdditionalNEW),Waste Bag Set up Additional,WasteBagSetupAdditionalNEW,2.0,Number,0,2.000
1546786,1804,Timber removal per kilo (Timberremovalperkilo,Timber removal per kilo,TimberremovalperkiloNEW,1.0,Number,0,
1546791,1798,Steel removal per kilo (SteelremovalperkiloNE,Steel removal per kilo,SteelremovalperkiloNEW,1.0,Number,0,
1546796,1801,Tidy Site (TidySiteNEW),Tidy Site,TidySiteNEW,1.0,Number,0,
1534596,1710,Gyprock Bag 3m3 (124949),Gyprock Bag 3m3,124949,0.0,Number,0,0.000
