idTruckToCust,idJobCustomer,idTruck,idDriver,finished,deleted,ordering,LastUpdated
1234136,881056,58,392,1,0,,2023-12-12 13:00:01
1160507,830427,11,84,1,0,,2023-12-12 13:00:01
1184792,847092,296,412,1,0,,2023-12-12 13:00:01
1170227,835907,129,135,1,0,,2023-12-12 13:00:01
1196791,854191,296,412,1,0,,2023-12-12 13:00:01
1201176,857836,53,437,1,0,,2023-12-12 13:00:01
1237151,882836,17,147,1,0,,2023-12-12 13:00:01
1201736,858436,338,150,0,0,,2023-12-12 13:00:01
1190991,851261,135,327,1,0,,2023-12-12 13:00:01
1144797,819512,60,327,1,0,,2023-12-12 13:00:01
1239096,883891,171,141,1,0,,2023-12-12 13:00:01
1213256,867301,171,141,1,0,,2023-12-12 13:00:01
1169872,831587,58,392,1,0,,2023-12-12 13:00:01
1219911,872141,296,412,1,0,,2023-12-12 13:00:01
1180797,843902,159,204,1,0,,2023-12-12 13:00:01
1174927,837902,67,92,1,0,,2023-12-12 13:00:01
1179517,842737,2,13,1,0,,2023-12-12 13:00:01
1178972,842347,159,204,1,0,,2023-12-12 13:00:01
1151807,824417,53,437,1,0,,2023-12-12 13:00:01
1154312,826112,114,111,1,0,,2023-12-12 13:00:01
1204221,860396,11,84,1,0,,2023-12-12 13:00:01
1172957,837787,105,367,1,0,,2023-12-12 13:00:01
1168747,835082,67,92,1,0,,2023-12-12 13:00:01
1143797,818947,17,147,1,0,,2023-12-12 13:00:01
1144202,819102,17,147,1,0,,2023-12-12 13:00:01
1188951,849901,312,0,0,0,,2023-12-12 13:00:01
1228516,877866,171,141,1,0,,2023-12-12 13:00:01
1178877,841232,296,412,1,0,,2023-12-12 13:00:01
1144967,819732,114,111,1,0,,2023-12-12 13:00:01
1171077,829547,159,204,1,0,,2023-12-12 13:00:01
1178472,842057,291,216,0,0,,2023-12-12 13:00:01
1207561,861896,63,192,1,0,,2023-12-12 13:00:01
1179337,842682,63,192,1,0,,2023-12-12 13:00:01
1211086,865676,58,392,1,0,,2023-12-12 13:00:01
1228361,876656,262,452,1,0,,2023-12-12 13:00:01
1199331,856581,93,85,1,0,,2023-12-12 13:00:01
1216266,869656,135,327,1,0,,2023-12-12 13:00:01
1207941,851351,42,17,1,0,,2023-12-12 13:00:01
1188006,849291,114,111,1,0,,2023-12-12 13:00:01
1154267,824297,102,73,1,0,,2023-12-12 13:00:01
1228621,877946,42,17,1,0,,2023-12-12 13:00:01
1217711,870461,96,159,1,0,,2023-12-12 13:00:01
1182812,845467,168,259,1,0,,2023-12-12 13:00:01
1170267,835722,96,159,1,0,,2023-12-12 13:00:01
1234781,880176,17,147,1,0,,2023-12-12 13:00:01
1171902,837142,29,21,1,0,,2023-12-12 13:00:01
1174512,838892,58,392,1,0,,2023-12-12 13:00:01
1179782,842882,135,327,1,0,,2023-12-12 13:00:01
1170942,829997,96,159,1,0,,2023-12-12 13:00:01
1224976,875201,29,21,1,0,,2023-12-12 13:00:01
1193496,845862,338,150,1,0,,2023-12-12 13:00:01
1154327,826127,338,189,0,0,,2023-12-12 13:00:01
1155667,827222,58,392,0,0,,2023-12-12 13:00:01
1170962,836432,29,21,1,0,,2023-12-12 13:00:01
1182552,845157,2,8,1,0,,2023-12-12 13:00:01
1187891,849231,58,392,1,0,,2023-12-12 13:00:01
1172682,837512,159,204,1,0,,2023-12-12 13:00:01
1217616,870331,96,159,1,0,,2023-12-12 13:00:01
1227436,872086,296,412,1,0,,2023-12-12 13:00:01
1239121,883916,171,141,1,0,,2023-12-12 13:00:01
1225521,875836,338,189,0,0,,2023-12-12 13:00:01
1226816,876426,129,135,1,0,,2023-12-12 13:00:01
1164287,832452,232,352,1,0,,2023-12-12 13:00:01
1235316,881756,338,189,1,0,,2023-12-12 13:00:01
1234411,881211,232,352,1,0,,2023-12-12 13:00:01
1201591,858296,337,95,1,0,,2023-12-12 13:00:01
1199946,856951,138,189,1,0,,2023-12-12 13:00:01
1155897,827367,61,317,1,0,,2023-12-12 13:00:01
1209301,864371,291,216,1,0,,2023-12-12 13:00:01
1158522,828522,67,92,1,0,,2023-12-12 13:00:01
1230736,878301,171,141,1,0,,2023-12-12 13:00:01
1204736,860846,171,141,1,0,,2023-12-12 13:00:01
1230326,873626,17,147,1,0,,2023-12-12 13:00:01
1223986,874881,42,17,1,0,,2023-12-12 13:00:01
1197761,855201,138,189,1,0,,2023-12-12 13:00:01
1195161,853781,337,95,1,0,,2023-12-12 13:00:01
1151917,824517,60,327,0,0,,2023-12-12 13:00:01
1214321,867906,338,189,1,0,,2023-12-12 13:00:01
1164492,832582,93,85,1,0,,2023-12-12 13:00:01
1130038,809938,286,198,1,0,,2023-12-12 13:00:01
1223886,874836,2,8,1,0,,2023-12-12 13:00:01
1188286,849056,17,147,1,0,,2023-12-12 13:00:01
1218146,865431,17,147,1,0,,2023-12-12 13:00:01
1231116,879331,135,327,0,0,,2023-12-12 13:00:01
1148692,822412,58,372,1,0,,2023-12-12 13:00:01
1200041,857086,53,437,1,0,,2023-12-12 13:00:01
1225271,875636,53,437,1,0,,2023-12-12 13:00:01
1237191,882351,120,195,1,0,,2023-12-12 13:00:01
1148947,822462,29,21,1,0,,2023-12-12 13:00:01
1168257,833797,40,457,1,0,,2023-12-12 13:00:01
1218671,871016,105,367,1,0,,2023-12-12 13:00:01
1210811,865141,63,192,1,0,,2023-12-12 13:00:01
1239046,883831,286,198,0,0,,2024-02-02 13:00:01
1211661,865881,2,51,0,0,,2023-12-12 13:00:01
1179572,842797,168,259,1,0,,2023-12-12 13:00:01
1150657,823117,296,412,1,0,,2023-12-12 13:00:01
1144242,819142,93,85,1,0,,2023-12-12 13:00:01
1226921,876516,61,317,1,0,,2023-12-12 13:00:01
1214041,851396,61,51,1,0,,2023-12-12 13:00:01
1201511,858196,135,327,1,0,,2023-12-12 13:00:01
1150092,818872,114,111,1,0,,2023-12-12 13:00:01
1179822,842922,135,327,0,0,,2023-12-12 13:00:01
1206321,861671,96,159,1,0,,2023-12-12 13:00:01
1160597,828047,96,159,1,0,,2023-12-12 13:00:01
1167552,830912,67,92,1,0,,2023-12-12 13:00:01
1213566,867031,286,198,1,0,,2023-12-12 13:00:01
1187266,848436,296,412,1,0,,2023-12-12 13:00:01
1149177,822662,61,51,1,0,,2023-12-12 13:00:01
1158442,828427,159,204,1,0,,2023-12-12 13:00:01
1192921,852601,6,75,1,0,,2023-12-12 13:00:01
1235151,876626,102,73,1,0,,2023-12-12 13:00:01
1183787,846397,135,327,0,0,,2023-12-12 13:00:01
1174622,839012,338,189,1,0,,2023-12-12 13:00:01
