ID,Name,StateID,PostCode,GPSCoordinates,UpperLeft,LowerRight,LastUpdated,Deleted
2,AARONS PASS,1,2850,"149.8037510,-32.8632770,0","149.6756916,-32.7882665","149.9318104,-32.9382241",15/4/2011 16:29:04,0
3,ABBA RIVER,6,6280,"115.4633410,-33.6848780,0","115.4313262,-33.6663069","115.4953558,-33.7034451",15/4/2011 16:29:04,0
4,ABBEY,6,6280,"115.2586270,-33.6607710,0","115.2426196,-33.6514833","115.2746344,-33.6700577",15/4/2011 16:29:04,0
5,ABBEYARD,5,3737,"146.6896100,-36.8756680,0","146.4334912,-36.7327231","146.9457288,-37.0183459",15/4/2011 16:29:04,0
6,ABBEYWOOD,2,4613,"151.6288000,-26.1068780,0","151.5647703,-26.0667928","151.6928297,-26.1469495",15/4/2011 16:29:04,0
7,ABBOTSBURY,1,2176,"150.8677680,-33.8775380,0","150.8357532,-33.8590086","150.8997828,-33.8960634",15/4/2011 16:29:04,0
8,ABBOTSFORD,1,2046,"151.1294530,-33.8524690,0","151.1134456,-33.8432021","151.1454604,-33.8617349",15/4/2011 16:29:04,0
9,ABBOTSFORD,5,3067,"145.0004288,-37.8032938,0","144.9900989,-37.7937144","145.0107588,-37.8128733",15/4/2011 16:29:04,0
10,ABBOTSFORD,2,4670,"152.0249090,-24.8436870,0","151.9608793,-24.8031788","152.0889387,-24.8841820",15/4/2011 16:29:04,0
11,ABBOTSHAM,4,7315,"146.1755770,-41.2113060,0","146.1435622,-41.1945159","146.2075918,-41.2280918",15/4/2011 16:29:04,0
12,ABELS BAY,4,7112,"147.0980320,-43.2333300,0","147.0660172,-43.2170691","147.1300468,-43.2495866",15/4/2011 16:29:04,0
13,ABERCORN,2,4627,"151.1293470,-25.1366370,0","151.0653173,-25.0962251","151.1933767,-25.1770355",15/4/2011 16:29:04,0
14,ABERCROMBIE,1,2795,"149.5504660,-33.3899640,0","149.5344586,-33.3806472","149.5664734,-33.3992798",15/4/2011 16:29:04,0
15,ABERCROMBIE RIVER,1,2795,"149.3476250,-33.9105470,0","149.2195656,-33.8364338","149.4756844,-33.9845958",15/4/2011 16:29:04,0
16,ABERDARE,1,2325,"151.3765140,-32.8442000,0","151.3605066,-32.8348251","151.3925214,-32.8535739",15/4/2011 16:29:04,0
17,ABERDEEN,1,2336,"150.8901180,-32.1623960,0","150.8260883,-32.1246053","150.9541477,-32.2001710",15/4/2011 16:29:04,0
18,ABERDEEN,1,2359,"151.0805540,-29.9960580,0","150.9524946,-29.9187200","151.2086134,-30.0733358",15/4/2011 16:29:04,0
19,ABERDEEN,4,7310,"146.3244860,-41.2411210,0","146.3084786,-41.2327303","146.3404934,-41.2495106",15/4/2011 16:29:04,0
20,ABERFELDIE,5,3040,"144.8962590,-37.7566900,0","144.8802516,-37.7478678","144.9122664,-37.7655112",15/4/2011 16:29:04,0
21,ABERFELDY,5,3825,"146.3640640,-37.6965660,0","146.3320492,-37.6789062","146.3960788,-37.7142216",15/4/2011 16:29:04,0
22,ABERFOYLE,1,2350,"152.0129290,-30.2406050,0","151.7568102,-30.0862507","152.2690478,-30.3947173",15/4/2011 16:29:04,0
23,ABERFOYLE PARK,3,5159,"138.5937230,-35.0762820,0","138.5777156,-35.0671499","138.6097304,-35.0854131",15/4/2011 16:29:04,0
24,ABERGLASSLYN,1,2320,"151.5346070,-32.6946560,0","151.5185996,-32.6852654","151.5506144,-32.7040456",15/4/2011 16:29:04,0
25,ABERGOWRIE,2,4850,"145.8857910,-18.4749940,0","145.6296722,-18.3055837","146.1419098,-18.6442371",15/4/2011 16:29:04,0
26,ABERMAIN,1,2326,"151.4286680,-32.8108150,0","151.3966532,-32.7920572","151.4606828,-32.8295688",15/4/2011 16:29:04,0
27,ABERNETHY,1,2325,"151.3966770,-32.8832420,0","151.3806696,-32.8738713","151.4126844,-32.8926117",15/4/2011 16:29:04,0
28,ABINGDON DOWNS,2,4871,"143.1851680,-17.6087380,0","142.1606929,-16.9268180","144.2096431,-18.2880918",15/4/2011 16:29:04,0
29,ABINGTON,1,2350,"151.2502680,-30.2942140,0","150.9941492,-30.1399437","151.5063868,-30.4482420",15/4/2011 16:29:04,0
30,ABINGTON,2,4660,"152.3289310,-25.2032350,0","152.2969162,-25.1830418","152.3609458,-25.2234249",15/4/2011 16:29:04,0
31,ACACIA GARDENS,1,2763,"150.9065020,-33.7300770,0","150.8904946,-33.7207968","150.9225094,-33.7393562",15/4/2011 16:29:04,0
32,ACACIA HILLS,4,7306,"146.3249530,-41.2804910,0","146.2609233,-41.2469420","146.3889827,-41.3140228",15/4/2011 16:29:04,0
33,ACACIA RIDGE,2,4110,"153.0278700,-27.5896330,0","152.9958552,-27.5698528","153.0598848,-27.6094096",15/4/2011 16:29:04,0
34,ACACIA RIDGE BC,2,4110,"153.0088752,-27.6121537,0","152.9676695,-27.5650937","153.0500809,-27.6592137",15/4/2011 16:29:04,0
35,ACACIA RIDGE DC,2,4110,"153.0088752,-27.6121537,0","152.9676695,-27.5650937","153.0500809,-27.6592137",15/4/2011 16:29:04,0
36,ACHERON,5,3714,"145.7020150,-37.2524330,0","145.6379853,-37.2168986","145.7660447,-37.2879506",15/4/2011 16:29:04,0
37,ACLAND,2,4401,"151.6911020,-27.3037020,0","151.6590872,-27.2838705","151.7231168,-27.3235299",15/4/2011 16:29:04,0
38,ACTON,7,2601,"149.1087160,-35.2820870,0","149.0927086,-35.2729780","149.1247234,-35.2911950",15/4/2011 16:29:04,0
39,ACTON,4,7320,"145.8939870,-41.0700690,0","145.8779796,-41.0616564","145.9099944,-41.0784805",15/4/2011 16:29:04,0
40,ACTON PARK,6,6280,"115.3743690,-33.7770400,0","115.3103393,-33.7399336","115.4383987,-33.8141304",15/4/2011 16:29:04,0
41,ACTON PARK,4,7170,"147.4698880,-42.8657430,0","147.4058583,-42.8330213","147.5339177,-42.8984473",15/4/2011 16:29:04,0
42,ADA,5,3833,"145.8496880,-37.8408700,0","145.7856583,-37.8056149","145.9137177,-37.8761082",15/4/2011 16:29:04,0
43,ADAMINABY,1,2629,"148.7697440,-35.9973490,0","148.5136252,-35.8527799","149.0258628,-36.1416536",15/4/2011 16:29:04,0
44,ADAMS ESTATE,5,3984,"145.5398050,-38.3238430,0","145.4117456,-38.2537800","145.6678644,-38.3938383",15/4/2011 16:29:04,0
45,ADAMSTOWN,1,2289,"151.7262500,-32.9325380,0","151.7102426,-32.9231725","151.7422574,-32.9419025",15/4/2011 16:29:04,0
46,ADAMSTOWN HEIGHTS,1,2289,"151.7176950,-32.9509840,0","151.7016876,-32.9416204","151.7337024,-32.9603466",15/4/2011 16:29:04,0
47,ADAMSVALE,6,6375,"117.7248500,-32.2494130,0","117.4687312,-32.0983007","117.9809688,-32.4002743",15/4/2011 16:29:04,0
48,ADARE,2,4343,"152.2865610,-27.5215440,0","152.2225313,-27.4819556","152.3505907,-27.5611182",15/4/2011 16:29:04,0
49,ADAVALE,2,4474,"144.7010682,-25.9118996,0","143.9106594,-25.2775691","145.4914770,-26.5462302",15/4/2011 16:29:04,0
50,ADDINGTON,5,3352,"143.6725060,-37.3844640,0","143.6404912,-37.3667301","143.7045208,-37.4021937",15/4/2011 16:29:04,0
51,ADELAIDE,3,5000,"138.5997320,-34.9257700,0","138.5677172,-34.9074712","138.6317468,-34.9440647",15/4/2011 16:29:04,0
52,ADELAIDE AIRPORT,3,5950,"138.5391600,-34.9372600,0","138.5071452,-34.9189638","138.5711748,-34.9555521",15/4/2011 16:29:04,0
53,ADELAIDE BC,3,5000,"138.6013152,-34.9276567,0","138.5737662,-34.9066552","138.6288642,-34.9486582",15/4/2011 16:29:04,0
54,ADELAIDE LEAD,5,3465,"143.6773580,-37.0746710,0","143.6133283,-37.0390530","143.7413877,-37.1102723",15/4/2011 16:29:04,0
55,ADELAIDE PARK,2,4703,"150.6967310,-23.1146840,0","150.6647162,-23.0941580","150.7287458,-23.1352069",15/4/2011 16:29:04,0
56,ADELAIDE RIVER,8,0846,"131.1052000,-13.2326870,0","131.1015304,-13.2292939","131.1078256,-13.2355891",10/11/2011 13:08:07,0
